PhraseId,Sentiment
156061,3
156062,3
156063,3
156064,3
156065,3
156066,3
156067,3
156068,3
156069,3
156070,2
156071,2
156072,2
156073,1
156074,2
156075,0
156076,2
156077,0
156078,2
156079,2
156080,1
156081,1
156082,0
156083,2
156084,2
156085,2
156086,2
156087,1
156088,2
156089,2
156090,4
156091,2
156092,2
156093,3
156094,3
156095,2
156096,3
156097,2
156098,2
156099,1
156100,2
156101,1
156102,2
156103,2
156104,2
156105,2
156106,2
156107,4
156108,4
156109,2
156110,4
156111,1
156112,1
156113,3
156114,2
156115,1
156116,1
156117,0
156118,1
156119,1
156120,3
156121,2
156122,0
156123,2
156124,0
156125,2
156126,4
156127,3
156128,2
156129,1
156130,2
156131,3
156132,2
156133,2
156134,2
156135,2
156136,2
156137,1
156138,2
156139,2
156140,1
156141,1
156142,0
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,0
156151,2
156152,2
156153,2
156154,0
156155,2
156156,4
156157,2
156158,3
156159,1
156160,2
156161,1
156162,1
156163,2
156164,2
156165,4
156166,0
156167,0
156168,0
156169,2
156170,0
156171,0
156172,0
156173,1
156174,4
156175,4
156176,3
156177,4
156178,1
156179,4
156180,2
156181,2
156182,2
156183,2
156184,1
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,4
156194,2
156195,2
156196,2
156197,4
156198,4
156199,0
156200,4
156201,2
156202,2
156203,2
156204,3
156205,2
156206,3
156207,2
156208,1
156209,2
156210,2
156211,2
156212,2
156213,2
156214,2
156215,0
156216,2
156217,2
156218,0
156219,3
156220,4
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,3
156228,1
156229,2
156230,2
156231,3
156232,1
156233,3
156234,2
156235,1
156236,3
156237,1
156238,3
156239,3
156240,3
156241,4
156242,4
156243,3
156244,3
156245,3
156246,3
156247,4
156248,4
156249,3
156250,1
156251,2
156252,2
156253,1
156254,2
156255,1
156256,4
156257,4
156258,1
156259,4
156260,2
156261,2
156262,3
156263,3
156264,3
156265,0
156266,3
156267,3
156268,2
156269,1
156270,1
156271,0
156272,2
156273,2
156274,2
156275,2
156276,3
156277,3
156278,3
156279,3
156280,2
156281,3
156282,3
156283,3
156284,2
156285,2
156286,3
156287,3
156288,3
